keys,en,es
abilities/cachetada/name,Slap,cachetada
abilities/cachetada/description,A mighty slap,Cachetadón
abilities/cuchillazo/name,Stab,Cuchillazo
abilities/cuchillazo/description,Stab to the chest of your enemies,Cuchillazo al pecho del enemigo
abilities/electroshock/name,Electroshock,Electrochoque
abilities/electroshock/description,A jolt of electricity,Una descarga eléctrica.
abilities/escupitajo/name,Spit,Escupitajo
abilities/escupitajo/description,Well charged spit,Escupitajo bien cargado
abilities/fireball/name,Fireball,Bola de fuego
abilities/fireball/description,A ball of fire that burns enemies,Una bola de fuego que quema a los enemigos.
abilities/focused_healing/name,Focused Healing,Curación focalizada
abilities/focused_healing/description,Heals a single ally,Cura a un solo aliado.
abilities/ice_shard/name,Ice Shard,Fragmento de hielo
abilities/ice_shard/description,A shard of ice that freezes enemies,Corta con hielo
abilities/lanzar_portafolio/name,Throw Briefcase,Lanzar portafolios
abilities/lanzar_portafolio/description,Throw your briefcase with classified documents,Lanzas tu portafolio importante con documentos clasificados de la empresa
abilities/one_punch/name,One Punch,Un solo golpe
abilities/one_punch/description,A single punch that defeats any enemy,Un solo golpe que derrota a cualquier enemigo
abilities/patada/name,Kick,Patada
abilities/patada/description,A strong kick,Patadón
abilities/piss/name,Piss,Meados
abilities/piss/description,A strong piss that burns enemies,Meados fuertes que queman a los enemigos
abilities/punch/name,Punch,Puñetazo
abilities/punch/description,A solid punch,Puñetazo sólido
abilities/scratch/name,Scratch,Rasguño
abilities/scratch/description,A sharp scratch,Rasguño afilado
abilities/rayo_cosmico/name,Cosmic Ray,Rayo cósmico
abilities/rayo_cosmico/description,A ray from space,Rayo del espacio
